prod_name,prod_price,prod_link
"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","₹24,990",https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_14?dchild=1&keywords=Laptop&qid=1620993497&sr=8-14
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au","₹26,990",https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_15?dchild=1&keywords=Laptop&qid=1620993497&sr=8-15
"Dell Inspiron 3505 15.6"" FHD Display Laptop (R5-3450U / 8GB / 1TB + 256Gb SSD / Vega Graphics / Win 10 + MSO / Soft Mint Color) D560432WIN9S","₹49,990",https://www.amazon.in/Dell-Inspiron-R5-3450U-Graphics-D560432WIN9S/dp/B0919HGZXG/ref=sr_1_16?dchild=1&keywords=Laptop&qid=1620993497&sr=8-16
"Lenovo Ideapad Slim 3 AMD Ryzen 3 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W10057IN","₹30,895",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81W10057IN/dp/B087D3JHGB/ref=sr_1_17?dchild=1&keywords=Laptop&qid=1620993497&sr=8-17
"Lenovo Ideapad Slim 3 AMD Athlon Silver 3050U 15.6"" (39.62cms) (15.6"")HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W100HKIN","₹29,949",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81W100HKIN/dp/B08CQG6PDK/ref=sr_1_18?dchild=1&keywords=Laptop&qid=1620993497&sr=8-18
"(Renewed) HP Pavilion x360 10th Gen Intel Core i3 Touchscreen 2-in-1 14-inch(35.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Warm Gold/1.58 kg), 14-dh1502TU","₹42,492",https://www.amazon.in/Renewed-HP-Pavilion-Touchscreen-14-dh1502TU/dp/B094PK48Z4/ref=sr_1_19?dchild=1&keywords=Laptop&qid=1620993497&sr=8-19
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 14 inch (35.56 cms) Full HD Thin and Light Laptop (8GB/256GB SSD/Windows 10/MS Office 2019/Platinum Grey/1.6Kg), 81WD00TJIN","₹36,490",https://www.amazon.in/Lenovo-IdeaPad-Windows-Platinum-81WD00TJIN/dp/B08JCP9T7D/ref=sr_1_20?dchild=1&keywords=Laptop&qid=1620993497&sr=8-20
"Acer Nitro 5 Ryzen 5 4600H 15.6-inch Display Thin and Light Gaming Laptop (16GB RAM/512 GB SSD/Win10/GTX 1650 Graphics/Obsidian Black/2.3 Kgs), AN515-44 + Xbox Game Pass for PC","₹68,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A068315927YSMTNMBGYA2&url=%2FAcer-15-6-inch-Graphics-Obsidian-AN515-44%2Fdp%2FB092VM8GGF%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993497%26sr%3D8-21-spons%26psc%3D1&qualifier=1620993497&id=1209729853832364&widgetName=sp_btf
"Lenovo Ideapad L340 Intel Core i5 9th Gen 15.6” FHD Gaming (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg),81LK01QTIN","₹49,490",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08662873K64VNMX9DXEC&url=%2FLenovo-Ideapad-Windows-GeForce-81LK01QTIN%2Fdp%2FB092MTLNBB%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993497%26sr%3D8-22-spons%26psc%3D1&qualifier=1620993497&id=1209729853832364&widgetName=sp_btf
"Lenovo Legion 5 AMD Ryzen 5 4600H 15.6 inch (39.62 cms) Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82B500BHIN","₹67,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10157931N88KC7WG2GAO&url=%2FLenovo-Windows-Graphics-Phantom-82B500BHIN%2Fdp%2FB08GG8WCW7%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993501%26sr%3D8-17-spons%26psc%3D1&qualifier=1620993501&id=8481010382958041&widgetName=sp_atf_next
